VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,09/20/2018 08:06:43 AM,09/20/2018 08:23:03 AM,1,2.3,1,N,236,166,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
1,09/20/2018 08:42:14 AM,09/20/2018 08:54:02 AM,1,2.1,1,N,43,142,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95
2,09/20/2018 08:10:18 AM,09/20/2018 09:00:07 AM,3,7.97,1,N,138,161,1,34.5,0.0,0.5,7.06,0.0,0.3,42.36
2,09/20/2018 07:58:02 AM,09/20/2018 08:13:43 AM,1,2.36,1,N,100,141,1,12.0,0.0,0.5,2.56,0.0,0.3,15.36
2,09/20/2018 08:17:51 AM,09/20/2018 08:38:06 AM,1,10.75,1,N,229,138,1,31.5,0.0,0.5,7.61,5.76,0.3,45.67
1,09/20/2018 08:27:25 AM,09/20/2018 09:19:53 AM,1,10.1,1,N,138,211,1,39.0,0.0,0.5,9.1,5.76,0.3,54.66
2,09/20/2018 07:58:03 AM,09/20/2018 08:10:05 AM,1,2.02,1,N,239,230,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
2,09/20/2018 08:25:08 AM,09/20/2018 08:44:18 AM,1,2.91,1,N,43,74,1,14.5,0.0,0.5,4.59,0.0,0.3,19.89
1,09/20/2018 08:01:05 AM,09/20/2018 08:21:32 AM,1,3.3,1,N,100,158,1,15.5,0.0,0.5,3.25,0.0,0.3,19.55
1,09/20/2018 08:23:47 AM,09/20/2018 08:34:58 AM,1,1.5,1,N,158,234,1,9.0,0.0,0.5,1.0,0.0,0.3,10.8
1,09/20/2018 08:37:22 AM,09/20/2018 08:44:23 AM,1,0.8,1,N,234,90,1,6.0,0.0,0.5,1.7,0.0,0.3,8.5
1,09/20/2018 08:54:17 AM,09/20/2018 09:15:25 AM,1,1.5,1,N,249,161,1,13.5,0.0,0.5,1.7,0.0,0.3,16.0
2,09/20/2018 08:29:35 AM,09/20/2018 08:57:35 AM,1,2.76,1,N,236,186,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8
1,09/20/2018 08:47:05 AM,09/20/2018 08:57:55 AM,1,0.8,1,N,100,162,1,8.0,0.0,0.5,0.0,0.0,0.3,8.8
1,09/20/2018 08:58:50 AM,09/20/2018 09:31:08 AM,1,1.7,1,N,162,140,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8
1,09/20/2018 08:37:25 AM,09/20/2018 08:40:50 AM,1,0.7,1,N,75,263,1,4.5,0.0,0.5,1.55,0.0,0.3,6.85
1,09/20/2018 08:45:48 AM,09/20/2018 08:50:22 AM,1,0.5,1,N,263,263,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1,09/20/2018 08:53:55 AM,09/20/2018 09:04:55 AM,1,1.0,1,N,263,140,1,8.0,0.0,0.5,0.6,0.0,0.3,9.4
2,09/20/2018 08:59:20 AM,09/20/2018 09:34:09 AM,5,9.98,1,N,41,88,1,31.0,0.0,0.5,2.0,0.0,0.3,33.8
1,09/20/2018 08:07:41 AM,09/20/2018 08:39:15 AM,1,11.4,1,N,138,233,1,34.0,0.0,0.5,12.15,5.76,0.3,52.71
1,09/20/2018 08:43:52 AM,09/20/2018 09:00:44 AM,1,1.3,1,N,162,68,1,11.5,0.0,0.5,3.0,0.0,0.3,15.3
2,09/20/2018 08:46:27 AM,09/20/2018 08:46:30 AM,1,0.01,5,N,170,170,1,64.25,0.0,0.0,12.91,0.0,0.3,77.46
2,09/20/2018 08:07:50 AM,09/20/2018 08:13:35 AM,1,0.97,1,N,238,166,1,6.0,0.0,0.5,0.0,0.0,0.3,6.8
2,09/20/2018 08:18:30 AM,09/20/2018 08:42:46 AM,1,2.48,1,N,24,142,1,15.0,0.0,0.5,3.95,0.0,0.3,19.75
2,09/20/2018 08:43:46 AM,09/20/2018 08:49:11 AM,1,0.49,1,N,142,143,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,09/20/2018 08:49:48 AM,09/20/2018 09:06:04 AM,1,1.84,1,N,143,246,1,11.5,0.0,0.5,1.0,0.0,0.3,13.3
1,09/20/2018 08:09:01 AM,09/20/2018 08:17:05 AM,1,1.0,1,N,236,237,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
1,09/20/2018 08:21:59 AM,09/20/2018 08:31:16 AM,1,1.3,1,N,263,229,1,8.0,0.0,0.5,1.75,0.0,0.3,10.55
1,09/20/2018 08:32:27 AM,09/20/2018 09:16:25 AM,1,4.2,1,N,229,231,1,26.5,0.0,0.5,4.0,0.0,0.3,31.3
2,09/20/2018 08:06:55 AM,09/20/2018 08:33:15 AM,1,2.16,1,N,162,186,1,16.5,0.0,0.5,2.0,0.0,0.3,19.3
2,09/20/2018 08:34:31 AM,09/20/2018 08:55:41 AM,1,1.31,1,N,186,170,1,13.5,0.0,0.5,3.58,0.0,0.3,17.88
1,09/20/2018 08:09:48 AM,09/20/2018 08:47:21 AM,1,6.3,1,N,87,230,1,27.0,0.0,0.5,6.95,0.0,0.3,34.75
1,09/20/2018 08:49:07 AM,09/20/2018 09:16:33 AM,2,2.4,1,N,230,107,1,17.0,0.0,0.5,3.55,0.0,0.3,21.35
2,09/20/2018 08:14:14 AM,09/20/2018 08:19:21 AM,1,0.83,1,N,7,146,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
2,09/20/2018 08:13:11 AM,09/20/2018 08:53:14 AM,1,9.83,1,N,239,138,2,36.0,0.0,0.5,0.0,5.76,0.3,42.56
2,09/20/2018 08:00:13 AM,09/20/2018 08:37:10 AM,5,6.43,1,N,237,13,1,26.5,0.0,0.5,5.46,0.0,0.3,32.76
2,09/20/2018 08:55:48 AM,09/20/2018 09:17:25 AM,5,1.95,1,N,261,232,1,14.0,0.0,0.5,0.0,0.0,0.3,14.8
2,09/20/2018 08:14:16 AM,09/20/2018 08:33:41 AM,3,2.8,1,N,239,246,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
2,09/20/2018 08:38:55 AM,09/20/2018 08:55:32 AM,2,1.04,1,N,246,90,1,11.0,0.0,0.5,0.5,0.0,0.3,12.3
1,09/20/2018 08:16:30 AM,09/20/2018 08:34:32 AM,1,1.2,1,N,238,236,1,12.0,0.0,0.5,2.55,0.0,0.3,15.35
1,09/20/2018 08:41:42 AM,09/20/2018 08:46:45 AM,1,0.7,1,N,236,236,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
1,09/20/2018 08:52:08 AM,09/20/2018 09:16:14 AM,1,1.5,1,N,236,162,1,15.0,0.0,0.5,3.95,0.0,0.3,19.75
2,09/20/2018 08:31:46 AM,09/20/2018 09:36:05 AM,5,16.62,2,N,164,132,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27
1,09/20/2018 08:29:31 AM,09/20/2018 08:41:38 AM,1,1.1,1,Y,151,238,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75
1,09/20/2018 08:46:07 AM,09/20/2018 09:04:26 AM,1,2.3,1,N,238,237,1,12.5,0.0,0.5,0.5,0.0,0.3,13.8
2,09/20/2018 08:17:41 AM,09/20/2018 08:31:56 AM,1,1.44,1,N,243,127,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
